,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,tiksi,71.6872,128.8694,52.27,97,97,2.98,RU,1659032933
136,trelew,-43.249,-65.3051,53.74,43,32,21.88,AR,1659032845
137,sorong,-0.8833,131.25,77.52,86,100,4.25,ID,1659032933
138,samarai,-10.6167,150.6667,78.1,85,82,14.18,PG,1659032934
139,charters towers,-20.1,146.2667,49.64,77,0,5.44,AU,1659032934
140,karratha,-20.7377,116.8463,69.15,65,1,5.23,AU,1659032934
141,gelibolu,40.4103,26.6708,80.46,61,0,18.7,TR,1659032935
142,dong hoi,17.4833,106.6,80.53,80,64,3.67,VN,1659032935
143,pocone,-16.2567,-56.6228,97.59,14,2,7.7,BR,1659032935
144,luena,-11.7833,19.9167,61.72,32,100,4.27,AO,1659032936
145,sayyan,15.1718,44.3244,65.43,59,87,4.25,YE,1659032936
146,gorin,51.1983,136.6669,65.73,98,99,1.19,RU,1659032937
147,puerto ayora,-0.7393,-90.3518,76.96,90,97,8.99,EC,1659032937
148,esperance,-33.8667,121.9,57.34,73,11,11.77,AU,1659032937
149,baykit,61.67,96.37,61.27,97,65,3.91,RU,1659032938
150,dali,25.7,100.1833,64.13,90,69,2.73,CN,1659032938
151,olinda,-8.0089,-34.8553,80.33,74,20,11.5,BR,1659032938
152,thompson,55.7435,-97.8558,73.56,40,20,8.05,CA,1659032687
153,kuchinarai,16.541,104.05,79.77,76,41,2.77,TH,1659032939
154,samaipata,-18.15,-63.8667,71.6,43,28,7.36,BO,1659032939
155,torit,4.4133,32.5678,69.12,96,56,2.15,SS,1659032940
156,te anau,-45.4167,167.7167,41.41,93,100,1.41,NZ,1659032940
157,tautira,-17.7333,-149.15,77.23,77,27,24.63,PF,1659032940
158,dunedin,-45.8742,170.5036,44.8,77,99,5.99,NZ,1659032825
159,beckley,37.7782,-81.1882,78.67,91,100,6.91,US,1659032829
160,suhbaatar,50.2314,106.2078,52.79,86,57,2.06,MN,1659032941
161,grand gaube,-20.0064,57.6608,70.2,74,2,3.0,MU,1659032942
162,provideniya,64.3833,-173.3,47.17,93,100,2.64,RU,1659032942
163,atikokan,48.7555,-91.6216,62.35,69,92,10.67,CA,1659032942
164,tasiilaq,65.6145,-37.6368,46.56,95,100,5.12,GL,1659032943
165,alice town,25.7167,-79.3,83.71,70,20,14.56,BS,1659032943
166,naze,28.3667,129.4833,79.72,82,50,14.09,JP,1659032944
167,sena madureira,-9.0656,-68.6569,97.34,25,18,2.26,BR,1659032944
168,leningradskiy,69.3833,178.4167,37.08,85,99,4.27,RU,1659032945
169,saldanha,-33.0117,17.9442,57.25,91,0,11.86,ZA,1659032945
170,dingle,10.9995,122.6711,77.61,89,100,7.23,PH,1659032945
171,clyde river,70.4692,-68.5914,39.43,100,100,14.97,CA,1659032946
172,butaritari,3.0707,172.7902,81.81,74,100,15.39,KI,1659032946
173,maiduguri,11.8464,13.1603,88.16,46,72,4.16,NG,1659032947
174,muzhi,65.3667,64.6667,64.04,57,62,5.93,RU,1659032947
175,bethel,41.3712,-73.414,90.36,69,75,6.91,US,1659032941
176,kruisfontein,-34.0033,24.7314,58.89,75,0,4.97,ZA,1659032948
177,cabedelo,-6.9811,-34.8339,83.07,76,13,13.29,BR,1659032790
178,constitucion,-35.3333,-72.4167,58.53,57,0,11.45,CL,1659032948
179,port elizabeth,-33.918,25.5701,62.89,91,0,6.91,ZA,1659032775
180,bac lieu,9.285,105.7244,80.85,82,13,6.06,VN,1659032949
181,turukhansk,65.8167,87.9833,56.07,77,67,10.2,RU,1659032949
182,heilbron,-27.2812,27.9709,56.91,40,77,7.76,ZA,1659032950
183,mangrol,21.1167,70.1167,81.34,80,100,10.04,IN,1659032950
184,impfondo,1.6381,18.0667,74.73,84,100,3.22,CG,1659032950
185,carutapera,-1.195,-46.02,83.12,76,36,5.68,BR,1659032950
186,muros,42.7762,-9.0603,81.16,67,45,11.86,ES,1659032951
187,acajutla,13.5928,-89.8275,82.13,75,100,4.65,SV,1659032951
188,katete,-0.7818,29.7544,66.47,78,100,1.9,UG,1659032952
189,beloha,-25.1667,45.05,63.81,85,11,11.34,MG,1659032953
190,lorengau,-2.0226,147.2712,80.92,82,70,13.15,PG,1659032953
191,quatre cocos,-20.2078,57.7625,69.91,76,21,12.3,MU,1659032954
192,cabanas,22.9758,-82.9219,87.84,64,56,17.18,CU,1659032954
193,parabel,58.6978,81.4825,61.75,76,59,8.23,RU,1659032954
194,lanivtsi,49.8633,26.0908,66.58,66,49,7.83,UA,1659032955
195,machaneng,-23.1862,27.4886,64.42,34,0,11.59,BW,1659032955
196,airai,-8.9266,125.4092,52.21,86,38,3.74,TL,1659032955
197,nome,64.5011,-165.4064,51.87,77,0,0.0,US,1659032955
198,vila do maio,15.1333,-23.2167,88.59,81,26,17.18,CV,1659032956
199,liepaja,56.5419,21.0367,60.78,72,40,4.61,LV,1659032957
200,paamiut,61.994,-49.6678,41.88,92,28,19.08,GL,1659032957
201,luxor,25.6989,32.6421,95.88,13,32,10.0,EG,1659032958
202,cidreira,-30.1811,-50.2056,70.59,76,100,4.25,BR,1659032958
203,revelstoke,50.9832,-118.2023,94.44,31,0,1.32,CA,1659032847
204,port blair,11.6667,92.75,82.44,83,40,4.61,IN,1659032958
205,cabo san lucas,22.8909,-109.9124,93.61,51,20,5.75,MX,1659032745
206,arraial do cabo,-22.9661,-42.0278,85.96,39,20,14.97,BR,1659032959
207,zhigansk,66.7697,123.3711,67.28,67,95,6.02,RU,1659032959
208,yar-sale,66.8333,70.8333,64.29,61,97,4.52,RU,1659032959
209,nicolas bravo,18.45,-88.9167,87.24,60,97,7.2,MX,1659032960
210,nioro,13.35,-15.75,85.06,67,82,11.52,GM,1659032960
211,saint-philippe,-21.3585,55.7679,67.59,83,37,7.56,RE,1659032961
212,bantry,51.6833,-9.45,62.78,87,96,6.13,IE,1659032961
213,san andres,12.5847,-81.7006,86.02,74,75,10.36,CO,1659032952
214,jackson,42.4165,-122.8345,94.75,40,0,3.44,US,1659032846
215,fort erie,42.9001,-78.9329,82.94,73,75,17.27,CA,1659032961
216,maceio,-9.6658,-35.7353,80.04,78,75,12.66,BR,1659032961
217,lafiagi,8.8667,5.4167,72.09,99,100,5.32,NG,1659032962
218,bandundu,-3.3167,17.3667,85.24,32,52,1.14,CD,1659032962
219,chokurdakh,70.6333,147.9167,45.97,56,88,9.04,RU,1659032963
220,port alfred,-33.5906,26.891,64.18,86,9,3.0,ZA,1659032963
221,castro,-24.7911,-50.0119,75.04,43,65,11.07,BR,1659032964
222,hashtgerd,35.9642,50.6858,78.64,50,16,4.85,IR,1659032964
223,emerald,-23.5333,148.1667,47.71,65,0,10.18,AU,1659032964
224,hit,33.6416,42.8251,98.91,9,0,10.8,IQ,1659032965
225,mayo,38.8876,-76.5119,93.2,74,0,10.36,US,1659032965
226,padang,-0.9492,100.3543,78.24,87,92,4.36,ID,1659032965
227,scarborough,54.2797,-0.4044,61.16,75,100,10.0,GB,1659032687
228,hamilton,39.1834,-84.5333,89.1,54,40,11.5,US,1659032810
229,korla,41.7597,86.1469,92.73,14,65,5.86,CN,1659032966
230,sitka,57.0531,-135.33,57.09,94,100,9.22,US,1659032966
231,san jose,37.3394,-121.895,84.45,58,40,4.61,US,1659032382
232,kemijarvi,66.7131,27.4306,50.47,84,100,9.51,FI,1659032966
233,baruun-urt,46.6806,113.2792,61.68,56,12,16.84,MN,1659032966
234,salym,60.0625,71.4789,58.26,76,100,5.93,RU,1659032967
235,bandarbeyla,9.4942,50.8122,77.07,79,6,28.34,SO,1659032967
236,ondangwa,-17.9167,15.95,66.2,30,22,3.44,NA,1659032967
237,henties bay,-22.116,14.2845,54.84,87,29,6.96,NA,1659032967
238,preston,53.7667,-2.7167,66.67,77,40,8.05,GB,1659032968
239,lahat,-3.8,103.5333,75.69,85,100,1.54,ID,1659032968
240,souillac,-20.5167,57.5167,70.18,78,20,10.36,MU,1659032968
241,dholka,22.7167,72.4667,82.78,72,97,8.7,IN,1659032969
242,coquimbo,-29.9533,-71.3436,60.53,72,0,11.5,CL,1659032969
243,ascension,30.2169,-90.9001,93.2,64,40,3.44,US,1659032969
244,puerto escondido,15.85,-97.0667,86.83,51,40,11.5,MX,1659032970
245,hedensted,55.7704,9.7011,67.14,72,49,1.32,DK,1659032970
246,dom pedrito,-30.9828,-54.6731,56.35,97,100,15.35,BR,1659032970
247,phangnga,8.4509,98.5298,78.84,92,100,0.56,TH,1659032970
248,kayerkan,69.3497,87.7602,51.53,87,18,6.51,RU,1659032971
249,nyurba,63.2842,118.3319,65.23,80,26,5.28,RU,1659032971
250,boa vista,2.8197,-60.6733,80.58,74,75,4.61,BR,1659032709
251,takoradi,4.8845,-1.7554,76.55,78,84,13.58,GH,1659032972
252,lamas,-6.4167,-76.5333,82.87,41,22,3.53,PE,1659032972
253,aberdeen,57.1437,-2.0981,63.5,90,40,8.05,GB,1659032781
254,evensk,61.95,159.2333,49.37,68,90,5.5,RU,1659032973
255,yakeshi,49.2833,120.7333,60.04,88,89,3.06,CN,1659032973
256,nagornyy,52.7959,83.5498,62.58,74,16,7.92,RU,1659032974
257,colonia,50.9333,6.95,76.96,41,0,11.5,DE,1659032974
258,saint-francois,46.4154,3.9054,80.04,36,0,12.66,FR,1659032836
259,bose,45.4612,8.0137,78.39,88,78,6.6,IT,1659032974
260,namibe,-15.1961,12.1522,62.85,83,46,7.07,AO,1659032974
261,olafsvik,64.8945,-23.7142,47.26,87,100,16.02,IS,1659032975
262,esna,25.2934,32.554,96.82,13,6,10.54,EG,1659032975
263,sao gabriel da cachoeira,-0.1303,-67.0892,84.0,74,40,3.44,BR,1659032975
264,luis correia,-2.8792,-41.6669,83.86,63,47,11.18,BR,1659032976
265,iberia,29.9502,-91.7507,91.04,58,75,5.75,US,1659032976
266,tagusao,9.1924,117.8141,81.14,82,81,5.95,PH,1659032976
267,ginir,7.1333,40.7,64.0,58,76,13.31,ET,1659032976
268,lieksa,63.3167,30.0167,60.39,82,58,4.41,FI,1659032977
269,mariental,-24.6333,17.9667,66.63,19,4,14.45,NA,1659032977
270,kyakhta,50.3508,106.4494,52.02,85,57,2.77,RU,1659032977
271,abha,18.2164,42.5053,71.42,53,0,12.66,SA,1659032977
272,guarapari,-20.6667,-40.4975,76.89,64,0,18.88,BR,1659032978
273,nakatsu,33.5981,131.1883,82.29,87,1,7.16,JP,1659032978
274,severo-kurilsk,50.6789,156.125,51.55,92,54,7.78,RU,1659032978
275,diu,20.7141,70.9822,80.85,85,97,11.7,IN,1659032978
276,kaitangata,-46.2817,169.8464,42.13,91,100,8.19,NZ,1659032979
277,kaili,-3.4626,120.2147,67.15,92,81,2.08,ID,1659032979
278,oistins,13.0667,-59.5333,87.89,62,40,19.57,BB,1659032824
